,Temperature,A1,A2,A3,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,90,14.5480717937897,16.0971064869281,27.9757535092403,40.3789815286631,38.6224576060686,35.8362095356454,39.6305005091358,40.6827893290538,37.010068132552,37.2898166954838,37.4967772023582,34.9192664737432,35.2457764860808,33.7604387168519,40.6145401965517,38.2776190633384,40.8349287952223
,90.5,13.0434098836628,15.4069170251898,27.1284238046831,38.5007069049786,36.4375696892563,33.3515003255567,37.4029683118482,37.7386638768372,35.1581252795272,35.2035427152915,35.5837443066949,34.5008846647886,32.6292305568096,33.0704349767299,39.3446669222348,37.2553482239096,39.0467725258792
,91,11.6999375418249,13.8434422817976,26.0220946765076,35.479518128299,34.2558870905848,31.1857312107458,34.1183574993673,35.0537979188581,34.0891037857461,33.3900039045488,34.6031361835475,33.3516484923633,31.965087888297,32.2456279499789,38.6388375177347,36.2113250399595,37.6121043199441
,91.5,10.4566302820006,12.1484429176002,25.2903157692067,31.8362538171485,32.6825177707181,30.4506310842391,31.3001591138142,31.7081571136625,32.5836328030583,32.08256651457,32.6089433572331,32.475098868357,32.3530328874115,30.4551629934889,37.6153504534819,34.6563362171494,36.5581977031635
,92,8.95530732340262,11.6203315749852,24.0546452968962,28.4750977630172,30.8176812628074,29.5262414978563,29.1021337243701,29.2427827312183,30.7806537243988,31.1857436380017,30.6059199808145,31.7950365954127,31.596481289146,29.1412123203874,36.5054320119526,33.7738066254202,36.0869365366125
,92.5,7.6527017669722,10.6874118195497,22.5934260433863,25.3066892342047,28.4992611002242,28.1768981407049,27.3679719800999,27.3439370288304,29.9702082526323,29.849360570113,29.601077465762,29.8931848394152,30.8855938371715,28.4370372160721,35.7928455595688,33.3379770928663,35.2532833219439
,93,6.80993102095067,9.46970629543205,21.946422989728,22.5673600266657,26.723337350933,28.1195431811094,26.3904982115519,24.8749314711207,29.4476532315429,29.2025572844493,28.7206025022723,28.3165761865952,30.3738244137215,27.3776946760622,34.940478707145,32.6386904318425,34.6226476634625
,93.5,5.72475565255922,9.40212246942212,22.2805463665732,22.7741493618407,24.7134138319456,28.7498720647245,25.7264751808302,23.8759509994592,28.6176542068284,28.8377411146058,26.7402391506731,26.978883282898,29.4207305540247,26.1452951810415,33.5061732521438,32.0447504367966,32.7605462474434
,94,4.89126669147606,9.21906877630647,22.0331062868718,22.6787489030324,23.0385111554904,28.1707639372268,25.5506256678116,23.7299017701141,28.3296639380621,28.1098408788728,26.0046043781654,25.7299451664602,28.2886596409508,25.6400222853974,32.4330503250914,31.8504260992744,31.3129542467194
,94.5,4.36696527164656,10.4309053964195,25.4529019503007,27.4737395956112,22.9139619825435,31.4052675511108,26.7947486333676,26.7099178417209,30.5530747662576,29.5499867179876,26.0515357897534,25.7571110889293,30.7883339386362,27.1502647212376,33.47341418599,34.1103846358604,29.4863621082058
,95,1.68190185188485,5.17454619706734,12.7541010976729,14.4159414907448,9.87201018784231,15.1050491596048,12.0095748103784,12.9925870068362,13.9359682747397,13.3913770952611,10.8677043225603,11.0883189370223,14.5586636900471,12.3302784491309,14.7024945832092,15.6144962040165,11.4860477518313
